latitude,longitude,urgencyScore,totalNeeds
27.6856,80.0564,8,15
35.9712,84.6427,5,11
17.8562,81.9491,4,24
22.2194,89.7152,10,30
25.9637,70.3135,2,26
25.4854,80.445,8,11
35.477,80.747,1,9
11.9459,93.9242,10,12
11.2764,82.7453,5,33
9.204,74.0324,7,5
22.7094,94.3282,8,26
22.6808,86.2506,8,25
22.7245,83.2481,10,34
24.5209,73.2335,1,36
16.638,93.1536,9,37
30.7789,73.1639,7,22
25.4019,90.6899,6,1
11.7069,73.2084,7,32
14.7677,75.6296,2,47
9.826,78.9716,6,37
22.5042,75.6214,2,25
9.8474,72.2324,7,17
15.0733,77.1793,6,37
19.4299,79.06,1,34
26.0185,91.774,2,19
34.6578,89.1582,1,48
23.9107,83.638,9,34
24.2018,74.9318,6,14
35.1093,76.7692,1,31
21.336,73.7682,6,47
30.3401,94.4611,5,14
15.2292,85.9151,2,16
27.4571,84.0176,5,29
29.2905,95.3392,5,41
14.5473,71.6409,6,38
32.2238,89.0834,1,39
23.0093,69.6108,1,21
22.9682,95.0913,10,38
36.9429,89.7433,5,6
34.1998,80.3583,9,47
8.0723,88.3042,4,1
13.5705,77.876,9,33
16.9085,85.301,8,24
29.2926,77.5032,9,28
15.4367,87.8535,2,29
25.8542,86.6846,1,38
9.2604,80.1824,3,24
20.7069,79.576,4,17
21.8046,90.7784,6,31
10.8598,93.178,6,12
30.7361,76.5261,9,42
8.2194,83.918,3,34
11.6826,93.9666,10,30
31.7414,95.7094,9,2
11.6929,95.8993,8,44
33.6357,84.9249,4,5
26.2295,83.577,4,4
16.2738,74.5198,1,8
27.5884,85.507,7,49
28.9143,92.0821,1,10
32.6088,83.4548,7,4
12.9423,77.7332,5,19
8.5103,73.8118,8,23
35.7835,94.2029,8,9
14.9479,82.2912,8,29
11.0915,96.1768,9,37
17.2225,74.7898,3,47
13.8315,77.904,8,37
21.3562,77.6854,1,26
18.5252,74.3683,9,27
12.738,86.069,3,15
15.1168,85.5221,3,10
16.5436,77.5105,7,39
29.7468,80.1028,5,12
32.643,96.9105,9,3
24.4726,90.623,6,48
23.7795,95.3665,7,44
12.1261,86.007,5,41
17.8768,90.7249,7,7
28.2405,81.7196,4,25
23.737,70.1268,2,24
11.1791,74.9546,7,4
33.5157,77.0246,1,8
33.7075,90.5077,9,1
8.4354,68.5438,10,8
11.4167,69.2481,1,5
31.8897,81.4147,3,10
23.059,71.5081,9,11
23.4538,77.6808,10,42
29.1154,92.6586,9,32
34.5093,70.9776,6,18
18.5793,71.3132,2,7
22.8801,70.9404,4,21
13.4193,87.6469,9,45
35.8226,89.28,6,34
24.9526,76.4987,8,38
30.0693,76.4716,9,1
27.4152,71.3782,7,15
28.4937,80.0812,7,37
24.0958,68.5858,10,39
13.2854,96.3615,6,11
35.8437,82.3379,2,48
31.8514,80.1529,1,19
12.1295,73.4901,3,19
19.4057,90.9109,10,50
11.2243,81.7813,10,13
22.4231,94.3377,4,4
34.1653,80.1162,7,7
23.8934,93.0128,4,41
11.2986,90.9987,10,21
29.3429,88.2625,8,36
34.0212,88.8341,6,31
18.9151,73.1988,3,37
16.8602,77.9677,6,3
16.319,85.0811,5,27
16.2326,84.0205,10,19
14.4893,96.8595,7,13
8.4731,84.2572,6,40
15.4054,88.7447,7,9
16.1815,89.9931,4,22
11.5438,93.2294,3,26
15.5456,85.2072,4,42
21.3646,96.746,8,6
13.3624,77.913,9,37
11.8327,80.7302,5,11
36.7678,89.7062,7,14
9.967,85.0329,9,16
34.582,93.8638,4,44
24.6951,87.3804,7,27
16.7864,69.3008,6,46
25.4718,86.0009,2,14
25.3714,87.4651,10,26
23.6769,70.7577,3,17
11.1371,83.2094,3,7
22.2921,79.9319,7,13
25.9532,84.1021,2,12
13.8825,86.4101,6,15
15.1746,91.7797,4,46
14.0277,75.7627,10,4
33.0581,79.142,2,39
16.762,75.1716,1,30
30.0863,82.8714,4,4
26.7762,88.4638,5,6
31.8634,90.9628,9,30
24.2913,94.0863,5,49
13.1761,95.8877,8,23
24.1233,69.4902,1,26
8.7322,84.0913,10,22
25.912,70.7189,7,35
36.6278,83.3501,7,33
31.2861,89.919,9,4
19.0427,84.5083,5,39
24.2408,69.2434,3,27
35.9889,92.2609,10,8
29.6001,78.1024,3,24
30.4677,90.7001,5,13
8.6348,69.183,3,45
17.5149,83.3028,6,29
26.6678,91.4043,6,2
31.7183,86.4574,9,16
21.6816,71.1779,7,28
22.8945,69.1022,2,7
17.07,91.8443,1,13
25.472,93.111,9,39
26.1708,92.8958,7,25
32.4981,77.9039,10,32
12.2153,95.9334,10,31
33.0305,81.2599,1,8
12.6262,73.445,7,20
25.9536,80.235,10,12
19.8468,93.2715,10,13
21.0894,88.9251,9,26
23.5487,85.0588,10,48
9.94,88.9051,5,8
22.671,83.0507,2,35
17.4817,89.8055,1,15
23.9232,80.0494,4,45
10.1707,70.6459,5,27
19.7827,70.0087,5,27
