system,user,assistant
You are a ReliefLink data intake agent.,Create a batch of needs reports for flood-affected areas in North 24 Parganas.,"[{""title"": ""Severe flooding in Barasat"", ""category"": ""rescue"", ""peopleAffected"": 150, ""severityLevel"": 5, ""resourceScarcity"": 5, ""hoursWaiting"": 6, ""latitude"": 22.7092, ""longitude"": 88.4875, ""status"": ""open""}, {""title"": ""Drinking water crisis in Madhyamgram"", ""category"": ""water"", ""peopleAffected"": 300, ""severityLevel"": 4, ""resourceScarcity"": 4, ""hoursWaiting"": 18, ""latitude"": 22.7037, ""longitude"": 88.4688, ""status"": ""open""}, {""title"": ""Community medical camp request"", ""category"": ""medical"", ""peopleAffected"": 60, ""severityLevel"": 3, ""resourceScarcity"": 2, ""hoursWaiting"": 24, ""latitude"": 22.6842, ""longitude"": 88.4552, ""status"": ""open""}, {""title"": ""Ration distribution assistance"", ""category"": ""food"", ""peopleAffected"": 220, ""severityLevel"": 3, ""resourceScarcity"": 3, ""hoursWaiting"": 36, ""latitude"": 22.7214, ""longitude"": 88.4950, ""status"": ""open""}, {""title"": ""Emergency shelter roof repair"", ""category"": ""shelter"", ""peopleAffected"": 40, ""severityLevel"": 4, ""resourceScarcity"": 3, ""hoursWaiting"": 48, ""latitude"": 22.6950, ""longitude"": 88.4411, ""status"": ""open""}]"
You are a ReliefLink coordination bot.,Generate volunteer profiles located around Tollygunge.,"[{""name"": ""Rahul Sen"", ""skills"": ""medical"", ""availability"": ""anytime"", ""latitude"": 22.4849, ""longitude"": 88.3496}, {""name"": ""Ananya Gupta"", ""skills"": ""coordination"", ""availability"": ""weekend"", ""latitude"": 22.4795, ""longitude"": 88.3541}, {""name"": ""Sudipta Pal"", ""skills"": ""rescue"", ""availability"": ""weekday"", ""latitude"": 22.4912, ""longitude"": 88.3422}, {""name"": ""Vikram Chatterjee"", ""skills"": ""food distribution"", ""availability"": ""anytime"", ""latitude"": 22.4782, ""longitude"": 88.3565}, {""name"": ""Moushumi Das"", ""skills"": ""logistics"", ""availability"": ""weekend"", ""latitude"": 22.4935, ""longitude"": 88.3398}]"
You are a ReliefLink data processor specializing in disaster response coordination in West Bengal.,Generate 5 sample community needs and 5 sample volunteer profiles for Kolkata regions like New Town and Ballygunge.,"[{""title"":""Critical flood evacuation in Ballygunge"",""category"":""rescue"",""peopleAffected"":42,""severityLevel"":5,""resourceScarcity"":5,""hoursWaiting"":2,""latitude"":22.5244,""longitude"":88.3551,""status"":""open""},{""title"":""Dry ration scarcity in New Town housing complex"",""category"":""food"",""peopleAffected"":312,""severityLevel"":3,""resourceScarcity"":4,""hoursWaiting"":20,""latitude"":22.5855,""longitude"":88.4682,""status"":""open""},{""title"":""Urgent medical supplies needed for infants"",""category"":""medical"",""peopleAffected"":15,""severityLevel"":5,""resourceScarcity"":4,""hoursWaiting"":8,""latitude"":22.5280,""longitude"":88.3610,""status"":""open""},{""title"":""Contaminated water source reporting"",""category"":""water"",""peopleAffected"":150,""severityLevel"":4,""resourceScarcity"":3,""hoursWaiting"":48,""latitude"":22.5937,""longitude"":88.4552,""status"":""open""},{""title"":""Temporary shelter for displaced daily wagers"",""category"":""shelter"",""peopleAffected"":85,""severityLevel"":4,""resourceScarcity"":2,""hoursWaiting"":36,""latitude"":22.5301,""longitude"":88.3685,""status"":""open""},{""name"":""Soumya Roy"",""skills"":""medical"",""availability"":""anytime"",""latitude"":22.5310,""longitude"":88.3582},{""name"":""Vikram Singh"",""skills"":""rescue"",""availability"":""weekend"",""latitude"":22.5900,""longitude"":88.4600},{""name"":""Anjali Gupta"",""skills"":""coordination"",""availability"":""anytime"",""latitude"":22.5255,""longitude"":88.3595},{""name"":""Rahul Sen"",""skills"":""food distribution"",""availability"":""weekday"",""latitude"":22.5320,""longitude"":88.3550},{""name"":""Rituparna Das"",""skills"":""logistics"",""availability"":""weekend"",""latitude"":22.5925,""longitude"":88.4710}]"
ReliefLink dataset generator,Generate urgent needs and volunteer records for North Kolkata.,"[{""title"":""Emergency clean drinking water demand"",""category"":""water"",""peopleAffected"":450,""severityLevel"":4,""resourceScarcity"":5,""hoursWaiting"":72,""latitude"":22.6105,""longitude"":88.3842,""status"":""open""},{""title"":""Road collapse obstructing medical access"",""category"":""rescue"",""peopleAffected"":25,""severityLevel"":5,""resourceScarcity"":5,""hoursWaiting"":5,""latitude"":22.5982,""longitude"":88.3695,""status"":""open""},{""name"":""Kunal Biswas"",""skills"":""rescue"",""availability"":""anytime"",""latitude"":22.6025,""longitude"":88.3755},{""name"":""Swastika Naha"",""skills"":""medical"",""availability"":""weekend"",""latitude"":22.5980,""longitude"":88.3702}]"
ReliefLink data generation for urban disasters.,Generate 100 community needs reports and 50 volunteer profiles in Kolkata.,"[{""title"":""Rice Distribution Required in Barasat"",""category"":""food"",""peopleAffected"":150,""severityLevel"":3,""resourceScarcity"":4,""hoursWaiting"":24,""latitude"":22.6847,""longitude"":88.4874,""status"":""open""},{""title"":""Trapped Elderly Group in Beliaghata"",""category"":""rescue"",""peopleAffected"":12,""severityLevel"":5,""resourceScarcity"":5,""hoursWaiting"":2,""latitude"":22.5691,""longitude"":88.3965,""status"":""open""},{""title"":""Medicine Supply Out in Kasba"",""category"":""medical"",""peopleAffected"":25,""severityLevel"":4,""resourceScarcity"":3,""hoursWaiting"":8,""latitude"":22.5152,""longitude"":88.3842,""status"":""open""},{""title"":""Contaminated Borewell Water in Jadavpur"",""category"":""water"",""peopleAffected"":400,""severityLevel"":4,""resourceScarcity"":5,""hoursWaiting"":72,""latitude"":22.4839,""longitude"":88.3752,""status"":""open""},{""title"":""Emergency Roof Collapse Relief in Tollygunge"",""category"":""shelter"",""peopleAffected"":8,""severityLevel"":5,""resourceScarcity"":2,""hoursWaiting"":5,""latitude"":22.4935,""longitude"":88.3551,""status"":""open""},{""name"":""Vikram Singh"",""skills"":""rescue"",""availability"":""anytime"",""latitude"":22.5726,""longitude"":88.3639},{""name"":""Sunita Rao"",""skills"":""medical"",""availability"":""weekday"",""latitude"":22.5801,""longitude"":88.4287},{""name"":""Anish Gupta"",""skills"":""logistics"",""availability"":""weekend"",""latitude"":22.6105,""longitude"":88.4611},{""name"":""Meena Sen"",""skills"":""food distribution"",""availability"":""anytime"",""latitude"":22.4764,""longitude"":88.3846},{""name"":""Kabir Khan"",""skills"":""coordination"",""availability"":""weekend"",""latitude"":22.5958,""longitude"":88.2636}]"
You are a ReliefLink data processor specializing in disaster response coordination for Kolkata.,Generate 100 needs reports and 50 volunteer profiles formatted for Firebase import.,"[{""title"": ""Severe Drinking Water shortage in New Town"", ""category"": ""water"", ""peopleAffected"": 450, ""severityLevel"": 4, ""resourceScarcity"": 5, ""hoursWaiting"": 18, ""latitude"": 22.618, ""longitude"": 88.468, ""status"": ""open""}, {""title"": ""Flash flood emergency in Ultadanga"", ""category"": ""rescue"", ""peopleAffected"": 30, ""severityLevel"": 5, ""resourceScarcity"": 4, ""hoursWaiting"": 3, ""latitude"": 22.585, ""longitude"": 88.397, ""status"": ""open""}, {""title"": ""Temporary medical shelter setup required in Jadavpur"", ""category"": ""medical"", ""peopleAffected"": 95, ""severityLevel"": 4, ""resourceScarcity"": 3, ""hoursWaiting"": 12, ""latitude"": 22.483, ""longitude"": 88.371, ""status"": ""open""}, {""name"": ""Sunil Banerjee"", ""skills"": ""medical"", ""availability"": ""anytime"", ""latitude"": 22.57, ""longitude"": 88.36}, {""name"": ""Anjali Mookherjee"", ""skills"": ""logistics"", ""availability"": ""weekend"", ""latitude"": 22.61, ""longitude"": 88.45}]"
You are a ReliefLink data processor specializing in disaster response coordination for Kolkata.,Generate 100 community needs records and 50 volunteer profiles as a JSON array.,"[{""title"":""Rice and dal shortage in Barrackpore slums"",""category"":""food"",""peopleAffected"":420,""severityLevel"":4,""resourceScarcity"":5,""hoursWaiting"":48,""latitude"":22.755,""longitude"":88.3697,""status"":""open""},{""title"":""Damaged embankment relief in Basirhat"",""category"":""rescue"",""peopleAffected"":150,""severityLevel"":5,""resourceScarcity"":4,""hoursWaiting"":6,""latitude"":22.658,""longitude"":88.852,""status"":""open""},{""title"":""Fever outbreak requiring medicines in Kasba"",""category"":""medical"",""peopleAffected"":90,""severityLevel"":4,""resourceScarcity"":3,""hoursWaiting"":12,""latitude"":22.518,""longitude"":88.384,""status"":""open""},{""title"":""Severe water stagnation causing diarrhea in Entally"",""category"":""medical"",""peopleAffected"":210,""severityLevel"":5,""resourceScarcity"":4,""hoursWaiting"":24,""latitude"":22.553,""longitude"":88.375,""status"":""open""},{""title"":""Collapsed roof requires debris clearing in Serampore"",""category"":""rescue"",""peopleAffected"":15,""severityLevel"":3,""resourceScarcity"":2,""hoursWaiting"":10,""latitude"":22.748,""longitude"":88.344,""status"":""open""},{""name"":""Soumyadeep Mitra"",""skills"":""medical"",""availability"":""anytime"",""latitude"":22.564,""longitude"":88.358},{""name"":""Anjali Gupta"",""skills"":""coordination"",""availability"":""weekend"",""latitude"":22.571,""longitude"":88.423},{""name"":""Debu Sardar"",""skills"":""rescue"",""availability"":""weekday"",""latitude"":22.623,""longitude"":88.435},{""name"":""Pritam Kanjilal"",""skills"":""logistics"",""availability"":""anytime"",""latitude"":22.502,""longitude"":88.396},{""name"":""Sita Sen"",""skills"":""food distribution"",""availability"":""weekend"",""latitude"":22.544,""longitude"":88.312}]"
You are a ReliefLink data processor.,Generate 150 community needs and 50 volunteer profiles based on Kolkata locations.,"[{""title"":""Supply disruption in New Town block AD"",""category"":""food"",""peopleAffected"":42,""severityLevel"":3,""resourceScarcity"":4,""hoursWaiting"":22,""latitude"":22.5855,""longitude"":88.4608,""status"":""open""},{""title"":""Drowning assistance required near E M Bypass"",""category"":""rescue"",""peopleAffected"":15,""severityLevel"":5,""resourceScarcity"":3,""hoursWaiting"":1,""latitude"":22.5362,""longitude"":88.4069,""status"":""open""},{""title"":""Post-cyclone health outbreak potential"",""category"":""medical"",""peopleAffected"":250,""severityLevel"":4,""resourceScarcity"":5,""hoursWaiting"":36,""latitude"":22.6105,""longitude"":88.3582,""status"":""open""},{""title"":""Overflowing drain crisis in Tollygunge"",""category"":""water"",""peopleAffected"":120,""severityLevel"":2,""resourceScarcity"":2,""hoursWaiting"":10,""latitude"":22.4965,""longitude"":88.3479,""status"":""open""},{""title"":""Relocation for elderly residents near Dhakuria Lake"",""category"":""shelter"",""peopleAffected"":25,""severityLevel"":4,""resourceScarcity"":5,""hoursWaiting"":5,""latitude"":22.5074,""longitude"":88.3685,""status"":""open""},{""name"":""Subir Nath"",""skills"":""medical"",""availability"":""anytime"",""latitude"":22.5448,""longitude"":88.3475},{""name"":""Mina Pal"",""skills"":""logistics"",""availability"":""weekend"",""latitude"":22.5697,""longitude"":88.3512},{""name"":""Kunal Sen"",""skills"":""rescue"",""availability"":""weekday"",""latitude"":22.5182,""longitude"":88.3965}]"
ReliefLink Coordinator Agent,Add new records for urban and semi-urban relief coordination around Kolkata.,"[{""title"":""Flash floods in Kasba neighborhood"",""category"":""rescue"",""peopleAffected"":85,""severityLevel"":5,""resourceScarcity"":4,""hoursWaiting"":6,""latitude"":22.5186,""longitude"":88.3846,""status"":""open""},{""title"":""Emergency shelter requested at Barrackpore"",""category"":""shelter"",""peopleAffected"":150,""severityLevel"":3,""resourceScarcity"":3,""hoursWaiting"":24,""latitude"":22.755,""longitude"":88.3697,""status"":""open""},{""title"":""Lack of potable water in Baguiati"",""category"":""water"",""peopleAffected"":420,""severityLevel"":4,""resourceScarcity"":5,""hoursWaiting"":18,""latitude"":22.6041,""longitude"":88.4239,""status"":""open""},{""title"":""Supply run for essential food in New Town"",""category"":""food"",""peopleAffected"":25,""severityLevel"":2,""resourceScarcity"":1,""hoursWaiting"":3,""latitude"":22.5855,""longitude"":88.4754,""status"":""open""},{""title"":""Severe injury cases near Sealdah station"",""category"":""medical"",""peopleAffected"":12,""severityLevel"":5,""resourceScarcity"":3,""hoursWaiting"":2,""latitude"":22.5638,""longitude"":88.3639,""status"":""open""},{""name"":""Soumya Sen"",""skills"":""medical"",""availability"":""anytime"",""latitude"":22.5726,""longitude"":88.3639},{""name"":""Deepa Guha"",""skills"":""logistics"",""availability"":""weekend"",""latitude"":22.4831,""longitude"":88.3184}]"
ReliefLink Data Processor,Create reports for southern fringe areas and volunteers with logistical skills.,"[{""title"":""Drowning incident reports in Tollygunge"",""category"":""rescue"",""peopleAffected"":10,""severityLevel"":5,""resourceScarcity"":5,""hoursWaiting"":1,""latitude"":22.4965,""longitude"":88.3516,""status"":""open""},{""title"":""Immediate shelter needed in Baruipur"",""category"":""shelter"",""peopleAffected"":50,""severityLevel"":4,""resourceScarcity"":2,""hoursWaiting"":12,""latitude"":22.3662,""longitude"":88.4296,""status"":""open""},{""title"":""Ration supply chain disrupted in Behala"",""category"":""food"",""peopleAffected"":450,""severityLevel"":3,""resourceScarcity"":4,""hoursWaiting"":48,""latitude"":22.4831,""longitude"":88.3184,""status"":""open""},{""title"":""Vaccination camp emergency in Lake Town"",""category"":""medical"",""peopleAffected"":200,""severityLevel"":2,""resourceScarcity"":3,""hoursWaiting"":72,""latitude"":22.6015,""longitude"":88.3971,""status"":""open""},{""title"":""Desalination of wells needed in South 24 Parganas"",""category"":""water"",""peopleAffected"":320,""severityLevel"":3,""resourceScarcity"":4,""hoursWaiting"":36,""latitude"":22.32,""longitude"":88.34,""status"":""open""},{""name"":""Vikram Sethi"",""skills"":""logistics"",""availability"":""anytime"",""latitude"":22.4764,""longitude"":88.3846},{""name"":""Anita Pal"",""skills"":""coordination"",""availability"":""weekday"",""latitude"":22.5204,""longitude"":88.3377}]"
